 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        466
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     382        -2.297323e-03      1.420405e-03     -8.313488e-05
     383        -2.626444e-03      1.207563e-03     -9.128551e-05
     384        -2.077390e-03      1.322543e-03     -8.553544e-05
     385        -2.348825e-03      1.212758e-03     -8.249313e-05
     386        -2.676261e-03      9.311444e-04     -9.222070e-05
     387        -2.123305e-03      1.049263e-03     -8.063221e-05
     388        -2.396230e-03      1.009037e-03     -8.217092e-05
     389        -2.723666e-03      6.743473e-04     -9.239218e-05
     390        -2.188084e-03      6.667978e-04     -7.421351e-05
     391        -2.451434e-03      7.731535e-04     -8.015284e-05
     392        -2.802074e-03      3.254274e-04     -9.317752e-05
     393        -2.234383e-03      4.135977e-04     -6.863990e-05
     394        -2.510531e-03      5.523228e-04     -7.825057e-05
     395        -2.860054e-03      1.407987e-04     -9.323048e-05
     396        -2.278760e-03      2.011107e-04     -6.227785e-05
     397        -2.560870e-03      4.104370e-04     -7.711608e-05
     398        -2.910890e-03      4.143106e-05     -9.252165e-05
     399        -2.317659e-03      6.998066e-05     -5.686477e-05
     400        -2.608205e-03      3.302016e-04     -7.662128e-05
     401        -2.959076e-03      1.808716e-05     -9.189394e-05
     402        -2.375125e-03      1.081339e-05     -5.328286e-05
     403        -2.661361e-03      3.066981e-04     -7.607411e-05
     404        -3.009320e-03      7.636427e-05     -9.074977e-05
     405        -2.417762e-03      6.876936e-05     -5.262542e-05
     406        -2.937014e-03      5.928218e-04     -8.396522e-05
     407        -3.154224e-03      8.671612e-04     -9.105606e-05
     408        -2.770137e-03      1.010703e-03     -7.552312e-05
     409        -2.546703e-03      6.160383e-04     -5.908325e-05
     410        -2.478751e-03      2.648629e-04     -5.549660e-05
     411        -2.597659e-03      4.181289e-04     -6.698238e-05
     412        -1.546202e-03      2.002338e-04     -5.758885e-05
     413        -2.214585e-04      4.847697e-04     -3.921864e-05
     414        -1.049262e-04      4.514034e-04     -3.939688e-05
     415        -1.429964e-03      5.772784e-05     -4.882936e-05
     416        -3.309302e-05      3.915537e-04     -3.845916e-05
     417         1.511982e-06      6.087444e-07      3.148027e-06
     418        -3.632527e-04      8.799146e-04     -6.206341e-05
     419         1.499607e-05     -3.171290e-05      8.983676e-06
     420        -6.147555e-04      6.681724e-04     -5.613223e-05
     421        -2.449613e-04      9.259542e-05     -4.587889e-05
     422        -2.829460e-03      2.384322e-03     -9.405584e-05
     423        -3.439283e-03      2.319170e-03     -1.007778e-04
     424        -3.076883e-03      2.545318e-04     -8.777189e-05
     425        -8.721217e-07     -2.105536e-06      1.976271e-06
     426        -1.894003e-05     -4.854783e-05     -2.621100e-05
     427        -1.628415e-04      4.366039e-04     -4.146169e-05
     428        -2.453689e-04      4.354542e-04     -4.131465e-05
     429        -2.341105e-04      4.868266e-04     -3.996849e-05
     430        -2.718870e-04      2.641193e-04     -4.621551e-05
     431        -3.042841e-03      1.759002e-03     -9.301178e-05
     432        -2.719748e-03      1.680560e-03     -7.636569e-05
     433        -3.067588e-04      1.015024e-04     -5.374337e-05
     434        -3.510332e-04     -5.346669e-05     -6.482367e-05
     435        -6.264174e-04      1.006548e-03     -4.802984e-05
     436        -6.675849e-04      1.066783e-03     -4.754525e-05
     437        -7.207878e-04      9.294322e-04     -4.947949e-05
     438        -7.738788e-04      6.067339e-04     -5.843470e-05
     439        -9.441674e-04     -7.717613e-05     -8.292448e-05
     440        -1.891538e-03     -3.341984e-05     -7.222741e-05
     441        -3.122651e-03      1.150862e-03     -9.020686e-05
     442        -2.636964e-03      6.611357e-04     -6.842563e-05
     443        -1.148802e-03      1.442590e-03     -5.814885e-05
     444        -1.293846e-03      1.356959e-03     -6.114957e-05
     445        -2.096660e-03      2.046936e-03     -8.207827e-05
     446         4.399765e-08      3.012866e-07      2.090233e-06
     447        -2.965453e-03      1.453533e-03     -8.271145e-05
     448        -3.231888e-03      2.542865e-03     -1.077516e-04
     449        -6.933420e-04      5.168324e-04     -5.962836e-05
     450        -1.233397e-03      1.529153e-03     -5.912561e-05
     451        -1.595105e-03      4.087416e-06     -6.330899e-05
