 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        845
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     241         2.397111e-05      4.424069e-06      1.047179e-05
     242         2.878093e-05      6.821906e-06      8.664134e-06
     243         4.422562e-05      4.678536e-06     -8.186028e-06
     244         3.254097e-05      9.303884e-07     -2.148566e-06
     245         3.840625e-05     -1.698897e-06     -7.371390e-06
     246         4.137256e-05      1.504384e-06     -8.467025e-06
     247         2.716452e-05     -9.368725e-07      4.395284e-06
     248         2.393081e-05     -1.484159e-06      1.060183e-05
     249         2.893658e-05     -3.961105e-06      8.676513e-06
     250         2.985111e-05      4.468886e-06      1.891902e-06
     251         2.707081e-05      1.733419e-06      6.430404e-06
     252         2.569516e-05      1.542636e-06      1.157192e-05
     253         3.971776e-05      9.468873e-07     -4.547107e-06
     254         4.003873e-05     -4.025030e-06     -5.645609e-06
     255         4.736225e-05      1.636727e-06     -9.151770e-06
     256         4.438903e-05     -1.311999e-06     -8.148320e-06
     257         3.506650e-05     -2.366038e-06      1.631466e-06
     258         3.835565e-05      4.423483e-06     -2.115903e-06
     259         3.326029e-05      9.352625e-06      1.287327e-06
     260         3.970293e-05      8.995349e-06     -2.465318e-06
     261         4.607026e-05      7.373507e-06     -6.215522e-06
     262         3.976849e-05     -5.737791e-06     -2.280273e-06
     263         3.405160e-05     -5.613911e-06      5.410426e-06
     264         3.924242e-05     -6.190949e-06      1.708884e-06
     265         3.280482e-05      4.243756e-06      5.103660e-06
     266         3.382781e-05      8.752461e-06      5.254142e-06
     267         3.221954e-05     -2.247852e-07      7.440269e-06
     268         2.978425e-05     -1.254061e-06      1.116491e-05
     269         3.506490e-05     -3.767934e-06      9.121449e-06
     270         2.978594e-05      4.334792e-06      1.110486e-05
     271         3.502067e-05      7.065063e-06      8.925360e-06
     272         3.169185e-05      1.690614e-06      1.209764e-05
     273         3.600250e-05     -1.230221e-06      1.155289e-05
     274         4.683269e-05      3.386643e-06     -3.852644e-06
     275         5.044776e-05      4.883468e-06     -8.702484e-06
     276         5.364640e-05      1.764495e-06     -9.723933e-06
     277         5.055284e-05     -1.157542e-06     -8.715174e-06
     278         3.687814e-05      1.776958e-06      1.711636e-06
     279         4.264871e-05     -9.860984e-07     -3.158378e-06
     280         4.615121e-05     -3.959369e-06     -6.051886e-06
     281         3.856163e-05     -1.974146e-06      3.462975e-06
     282         4.138221e-05      5.333288e-06     -5.417497e-07
     283         3.928921e-05      9.471134e-06      1.207750e-06
     284         4.589584e-05      9.111995e-06     -2.692682e-06
     285         3.635875e-05      3.067038e-06      6.390010e-06
     286         5.693062e-05      4.945559e-06     -9.192970e-06
     287         5.240954e-05      7.573417e-06     -6.488647e-06
     288         4.535647e-05     -2.264304e-06     -9.014283e-07
     289         4.611947e-05     -5.591324e-06     -2.650456e-06
     290         4.025523e-05     -5.513057e-06      5.545610e-06
     291         4.558838e-05     -6.050942e-06      1.596887e-06
     292         4.000954e-05      8.847367e-06      5.500478e-06
     293         4.201401e-05      5.373125e-06      3.568465e-06
     294         4.136443e-05      7.105884e-06      9.359572e-06
     295         4.562001e-05      9.613968e-06      1.194257e-06
     296         4.010528e-05      1.538384e-07      6.492902e-06
     297         4.160752e-05     -3.755802e-06      9.260242e-06
     298         3.594006e-05      4.486261e-06      1.156460e-05
     299         3.799459e-05      1.794303e-06      1.252757e-05
     300         5.269859e-05     -3.703601e-06     -6.600776e-06
     301         5.260058e-05     -5.441394e-06     -2.855040e-06
     302         4.247282e-05     -1.105131e-06      1.193267e-05
     303         4.655922e-05      9.015167e-06      5.588749e-06
     304         5.239885e-05      9.224072e-06     -2.884664e-06
     305         5.222589e-05      9.735681e-06      1.130395e-06
     306         4.943488e-05      5.613825e-06     -2.462716e-08
     307         5.704692e-05     -1.030694e-06     -9.188764e-06
     308         6.021224e-05      1.884142e-06     -1.020972e-05
     309         5.319770e-05      7.110489e-07     -4.329995e-06
     310         4.676662e-05     -5.388952e-06      5.625966e-06
     311         4.769794e-05     -2.503461e-06      4.976853e-06
     312         4.813284e-05     -3.549512e-06      9.621031e-06
     313         5.219002e-05     -5.942787e-06      1.545516e-06
     314         4.436365e-05      1.756614e-06      1.414810e-06
     315         4.244604e-05      4.598875e-06      1.191483e-05
     316         4.585727e-05      4.314706e-06      7.646407e-06
     317         4.808892e-05      7.357466e-06      9.454116e-06
     318         4.454848e-05      1.919661e-06      1.287120e-05
     319         5.645712e-05      5.888246e-06     -3.999898e-06
     320         5.916433e-05      7.574690e-06     -6.985350e-06
     321         6.365541e-05      5.030818e-06     -9.616752e-06
     322         4.876545e-05     -1.749142e-06      1.122883e-06
     323         4.480653e-05      1.825486e-06      6.353805e-06
     324         5.684034e-05     -1.658621e-06     -4.321341e-06
     325         5.922119e-05     -3.691399e-06     -6.802259e-06
     326         5.931767e-05     -5.320475e-06     -3.061306e-06
     327         6.376550e-05     -8.861536e-07     -9.614990e-06
     328         6.589936e-05      7.754860e-06     -7.108563e-06
     329         5.914856e-05      9.316712e-06     -3.077256e-06
     330         5.351920e-05     -5.295057e-06      5.672459e-06
     331         4.913467e-05      4.738948e-06      1.220004e-05
     332         5.337028e-05     -5.852366e-07      5.792175e-06
     333         4.919029e-05     -9.850027e-07      1.221185e-05
     334         5.508190e-05     -3.566886e-06      9.614605e-06
     335         5.132593e-05      2.037200e-06      1.313412e-05
     336         5.329446e-05      9.139329e-06      5.656666e-06
     337         5.395899e-05      5.333486e-06      4.977975e-06
     338         5.904195e-05      9.840346e-06      1.088199e-06
     339         5.483326e-05      7.382614e-06      9.780276e-06
     340         5.972529e-05      4.602771e-06     -3.287883e-06
     341         7.044399e-05      5.216175e-06     -9.864490e-06
     342         6.699106e-05      1.992207e-06     -1.058330e-05
     343         5.880910e-05     -1.674164e-06     -1.274045e-06
     344         5.899883e-05     -5.817873e-06      1.465788e-06
     345         5.235847e-05      1.804187e-06      1.113913e-06
     346         6.009387e-05      9.225134e-06      5.842509e-06
     347         6.615673e-05     -3.438595e-06     -7.260170e-06
     348         7.063906e-05     -7.838556e-07     -9.908892e-06
     349         6.627941e-05     -5.150687e-06     -3.372529e-06
     350         6.043677e-05     -5.193675e-06      5.710699e-06
     351         5.601012e-05      4.846410e-06      1.238429e-05
     352         6.606163e-05      9.429910e-06     -3.227700e-06
     353         6.717499e-05      2.067483e-06     -4.759216e-06
     354         7.287840e-05      7.849509e-06     -7.310205e-06
     355         7.392035e-05      2.099743e-06     -1.090395e-05
     356         7.753188e-05      5.256725e-06     -1.013795e-05
     357         6.323534e-05      5.995120e-06      1.131559e-06
     358         6.601726e-05      9.951462e-06      1.030724e-06
     359         6.180991e-05      7.504899e-06      9.861570e-06
     360         6.332486e-05     -1.808031e-06      9.541208e-07
     361         6.598049e-05     -5.713795e-06      1.397917e-06
     362         5.952865e-05     -4.109150e-07      8.313082e-06
     363         5.608233e-05     -9.744907e-07      1.234069e-05
     364         6.205153e-05     -3.478386e-06      9.721653e-06
     365         5.825630e-05      2.133733e-06      1.331068e-05
     366         5.863675e-05      2.501040e-06      6.848495e-06
     367         6.031017e-05      3.374242e-06      4.200632e-07
     368         6.721990e-05      9.380816e-06      5.783109e-06
     369         7.568536e-05      2.199981e-06     -6.624330e-06
     370         7.313340e-05     -3.310657e-06     -7.458010e-06
     371         7.764734e-05     -6.478248e-07     -1.015831e-05
     372         8.097807e-05      2.212474e-06     -1.112474e-05
     373         7.331713e-05     -5.060780e-06     -3.428463e-06
     374         6.990538e-05     -1.739546e-06      1.269582e-06
     375         6.648960e-05     -1.282221e-06      6.866675e-06
     376         6.309337e-05     -8.338904e-07      1.249485e-05
     377         6.748219e-05     -5.100705e-06      5.707782e-06
     378         7.306552e-05     -5.607935e-06      1.336021e-06
     379         6.914612e-05     -3.385119e-06      9.749925e-06
     380         8.464740e-05      5.361436e-06     -1.029508e-05
     381         6.704872e-05      3.912036e-06      7.303906e-06
     382         6.304392e-05      4.965788e-06      1.251575e-05
     383         6.890470e-05      7.641221e-06      9.920751e-06
     384         6.530244e-05      2.246964e-06      1.343145e-05
     385         7.309819e-05      9.519795e-06     -3.352876e-06
     386         7.370726e-05      5.034147e-06     -3.103549e-06
     387         7.310116e-05      1.005581e-05      9.663888e-07
     388         7.997316e-05      7.932327e-06     -7.479629e-06
     389         6.878045e-05      1.380415e-06      1.615364e-06
     390         8.023203e-05      9.611917e-06     -3.453062e-06
     391         7.667676e-05      6.195983e-06      1.036103e-06
     392         8.026451e-05      1.016315e-05      9.179905e-07
     393         7.436380e-05      9.489264e-06      5.784434e-06
     394         7.014132e-05      5.090094e-06      1.257277e-05
     395         8.244715e-05      3.842476e-06     -4.592755e-06
     396         8.022306e-05     -3.196610e-06     -7.631238e-06
     397         7.880556e-05      2.829441e-07     -4.945230e-06
     398         8.476394e-05     -5.288826e-07     -1.034068e-05
     399         8.809542e-05      2.316663e-06     -1.125816e-05
     400         8.047252e-05     -4.936321e-06     -3.550546e-06
     401         8.736826e-05     -3.067870e-06     -7.757384e-06
     402         7.665976e-05     -1.637569e-06      1.209484e-06
     403         7.604069e-05      7.753612e-06      9.913224e-06
     404         7.519530e-05      3.713754e-06      6.816362e-06
     405         7.097194e-05      3.125946e-07      7.310135e-06
     406         7.022311e-05     -7.476375e-07      1.253161e-05
     407         7.243233e-05      2.348058e-06      1.344375e-05
     408         7.461627e-05     -5.009301e-06      5.684783e-06
     409         8.023039e-05     -5.502216e-06      1.268007e-06
     410         8.710849e-05      8.022249e-06     -7.573381e-06
     411         7.628710e-05     -3.298595e-06      9.717987e-06
     412         9.176662e-05      5.533895e-06     -1.033516e-05
     413         9.524245e-05      2.414343e-06     -1.132556e-05
     414         8.024756e-05      2.332331e-06      1.091340e-06
     415         8.741025e-05      9.700059e-06     -3.513847e-06
     416         8.730992e-05      5.199814e-06     -3.293348e-06
     417         8.145230e-05      9.565301e-06      5.877583e-06
     418         8.744426e-05      1.026049e-05      8.608688e-07
     419         8.177260e-05      5.122852e-06      5.422527e-06
     420         7.728515e-05      5.203572e-06      1.254298e-05
     421         7.958116e-05      2.451105e-06      1.338434e-05
     422         8.328878e-05      7.927881e-06      9.769615e-06
     423         8.738545e-05     -3.363015e-07     -3.315399e-06
     424         9.190851e-05     -4.153379e-07     -1.043391e-05
     425         8.773805e-05     -4.782309e-06     -3.770900e-06
     426         9.451908e-05     -2.997030e-06     -7.738260e-06
     427         8.184697e-05     -4.159479e-07      5.403813e-06
     428         7.742011e-05     -7.508335e-07      1.244365e-05
     429         8.740944e-05     -5.403885e-06      1.195940e-06
     430         8.178656e-05     -4.921303e-06      5.623516e-06
     431         9.436553e-05      8.051302e-06     -7.691694e-06
     432         8.344056e-05     -3.177231e-06      9.730653e-06
     433         9.458209e-05      9.783690e-06     -3.554912e-06
     434         9.906117e-05     -3.074016e-07     -1.045839e-05
     435         9.891594e-05      5.546553e-06     -1.039148e-05
     436         1.023706e-04      2.508853e-06     -1.131991e-05
